id_turma,descricao_horario,id_componente_curricular,id_docente_interno,id_docente_externo,nivel_ensino,ano,periodo,noite34,noite12,tarde56,tarde34,tarde12,manha56,manha34,manha12,sabado,aulas,alunos
57598547,23456M123456  23456T12345 (20/03/2017 - 14/05/2017),54741,5758606.0,,GRADUAÇÃO,2017,1,False,False,True,True,True,True,True,True,False,396,3
57600082,23456M123456  23456T1234 (13/02/2017 - 19/03/2017),60830,5752029.0,,GRADUAÇÃO,2017,1,False,False,False,True,True,True,True,True,False,220,6
57566651,7M1234,40018,5757756.0,,GRADUAÇÃO,2015,2,False,False,False,False,False,False,True,True,True,72,5
57595117,35N34,25649,5758392.0,,GRADUAÇÃO,2017,1,True,False,False,False,False,False,False,False,False,68,29
57598325,35T1234 (23/03/2017 - 25/04/2017),48470,5752182.0,,GRADUAÇÃO,2017,1,False,False,False,True,True,False,False,False,False,36,11
57590681,56M12,62764,5758654.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,False,False,True,False,74,11
1233342,24T56,21273,5752677,,GRADUAÇÃO,2014,2,False,False,True,False,False,False,False,False,False,72,38
1219063,35M456 (18/02/2014 - 27/03/2014),52480,5753682.0,,GRADUAÇÃO,2014,1,False,False,False,False,False,True,True,False,False,33,10
1226811,2T2,38278,26041.0,,STRICTO SENSU,2014,1,False,False,False,False,True,False,False,False,False,15,1
1239406,35N12 (02/02/2015 - 20/06/2015),52651,5756955.0,,GRADUAÇÃO,2015,1,False,True,False,False,False,False,False,False,False,66,57
1220239,4N34 (27/01/2014 - 14/06/2014),2051002,5756054.0,,GRADUAÇÃO,2014,1,True,False,False,False,False,False,False,False,False,36,37
1221019,2T56,40020,5755234.0,,GRADUAÇÃO,2014,1,False,False,True,False,False,False,False,False,False,36,10
57566956,2M2345 4M23,23848,5756312.0,,GRADUAÇÃO,2015,2,False,False,False,False,False,True,True,True,False,98,12
1240649,26T23,27520,5753758.0,,GRADUAÇÃO,2015,1,False,False,False,True,True,False,False,False,False,74,16
1222802,4M2345,28152,21568.0,,GRADUAÇÃO,2014,1,False,False,False,False,False,True,True,True,False,68,15
